estadoProyecto;personaAsignada;otraPersona;fechaDebate;numero;nombreProyecto;autores;ponentes;micrositio;accionSugerida;Objeto;numArticulado;sintesisArticulo;conceptos;consideraciones;votacionArticulo;conflictoDeInteres;estadoCi;estadoProposicion;linkProposicion;idUsuarioFK;otraPersonaFK
Aprobado C;MATEO GRISALES ;;2026-11-27;443 DE 2024;POR MEDIO DEL CUAL SE ESTABLECEN DIRECTRICES PARA LA MEJORA DE LOS PROCESOS DE SELECCION Y OPERACION DEL PROGRAMA DE ALIMENTACION ESCOLAR - PAE;H.S.Antonio Jose Correa Jimenez H.R.Jose Eliecer Salazar Lopez , H.R.Teresa De Jesus Enriquez Rosero , H.R.Hernando Guida Ponce;H.R. Diego Fernando Caicedo Navas H.R. Hernando Gonzalez;https://www.camara.gov.co/programa-de-alimentacion-escolar;NO ACTUAR;"busca establecer mejoras en el sistema de seleccion e interventoria de los operadores del Programa de Alimentacion Escolar - PAE, ademas de incentivar e impulsar la compra de suministros a productores locales agropecuarios locales, Asociaciones Campesinas y/o Asociaciones de Victimas; con el objetivo de complementar las politicas publicas en pro de mejorar la calidad de vida de las condiciones de los campesinos de Colombia y la poblacion victima del conflicto armado. Asi mismo, la iniciativa esta encaminada a garantizar una mayor eficiencia y transparencia en el PAE, garantizar el acceso al agua potable en las diferentes instituciones educativas y a consolidar este programa de acuerdo con las condiciones de vulnerabilidad de la poblacion objeto de esta iniciativa.";19;articulo 1°: objetivo articulo 2°: banco de oferentes articulo 3°: proteccion del derecho a la alimentacion de ninos, ninas y adolescentes beneficiarios del programa de alimentacion escolar articulo 4°: compra de alimentos articulo 5°: interventoria articulo 6°: principio en la contratacion articulo 7°: acceso al agua potable articulo 8°: equipamiento de cocinas articulo 9°: reportes de informacion articulo 10°: priorizacion articulo 11°: articulacion tic articulo 12°: veeduria articulo 13°: reglamentacion de la presente ley articulo 14°: planes financieros territoriales del pae articulo 15°: ejecucion del programa de alimentacion escolar por entidades territoriales no certificadas articulo 16°: sistema de publicidad para contratacion y ejecucion articulo 17°: documentos tipo para procesos de seleccion articulo 18: diseno de documentos tipo para contratacion del pae articulo 19°: vigencia;No hay conceptos del MEN, ni de HACIENDA que acrediten aval presupuestual ;Es un proyecto que robuste la contratacion de alimentacion escolar por parte de las entidades territoriales. Algunas cosas buenas:   1. Obliga a las entidades territoriales la creacion de un banco de oferentes de alimentacion escolar, los cuales recibiran capacitaciones y acompanamiento.  2. Las entidades territoriales deberan realizar los procesos de contratacion con al menos 3 meses del inicio del calendario escolar so pena de investigacion por parte de los Organos de Control para garantizar el derecho a los NNA  3. Busca que las entidades territoriales priricen el acceso a agua potable y el equipamento adecuado de cocinas en los establecimientos educativos.  4. Busca que el Gobierno Nacional priorice la atencion de las sedes educativas rurales.  5. Que las entidades territoriales realicen planes financieros territoriales en funion del PAE que garanticen el principio de planeacion y la prestacion del servicio.   Cosas polemicas:   1. En el articulo 4. busca que para la contratacion del PAE se priorice la compra de alimentos con asociaciones locales, campesinas y victimas. Estas organizaciones deberan estar acreditadas por las secretarias de agricultores y deberan cumplir los requisitos de ideoneidad y minutra nutricional.   2. El proyecto busca crear una pagina web (art 16) que tenga un sistema de publicidad para la contratacion, ejecucion y seguimiento especifico para el PAE. Esto puede ser una carga adicional para el Estado sin aprovechar la infraestructura creada para la compra eficiente y visible que genera el SECOP. Esto no tiene aval fiscal ni un estudio de donde provendria los recursos para su implementacion. ;Votar positivo ;NO APLICA;NO APLICA;NO APLICA;NO APLICA;5;null
Aprobado C;JUAN PABLO CARDONA ;;2024-04-23;297 DE 2023;Por medio de la cual se definen y establecen los requerimientos para la implementacion de sistemas avanzados de monitoreo y control para la seguridad vial en los vehiculos automotores; H.R.Julio Roberto Salazar Perdomo;H.R. Alfredo Ape Cuello Baute;https://www.camara.gov.co/seguridad-vial-5;NO ACTUAR;Definir y establecer los requerimientos para la implementacion de Sistemas de Monitoreo y Control para la Seguridad Vial en los vehiculos de transporte de pasajeros y de carga que permitan acceder a la informacion el comportamiento vial y las condiciones de operacion de los vehiculos para incrementar la seguridad vial y prevenir incidentes viales que potencialmente pueden desembocar en siniestros viales.  Se otorgan 3 anos para la implementacion del sistema avanzado de monitoreo y control. ;10;1. Objeto 2. Definiciones 3. Ambito de aplicacion 4. Prohibicion de matricula o de traspaso 5. Acceso a los datos 6. Reglamentacion 7. Financiacion 8. Homologacion 9. Revision tecnico-mecanica 10. Vigencia;No hay;El objetivo del proyecto es loable pues su objetivo permitiria aumentar el control sobre los vehiculos de transporte de pasajeros y de carga a traves de sistemas tecnologicos bastante avanzados en el pais. Ademas, en el articulado del proyecto no hay alertas.  La unica dificultad que el proyecto plantea es practico. Primero, los sistemas que plantea implementar son complejos, por lo que ninguno de los vehiculos importados o ensamblados en Colombia cuenta con estas caracteristicas. Segundo, la homologacion (proceso en el que se modifica el vehiculo para actualizarlo a los requisitos actuales) tendria problemas porque son pocas las empresas en el mercado que ofrecen esta clase de sistemas. Esto llevaria a que la homologacion no sea posible realizarse o no se haga correctamente.  Seria bueno conocer la opinion de las principales ensambladoras e importadoras de vehiculos en el pais sobre este proyecto para identificar la viabilidad.;Positivos todos;NO APLICA;NO APLICA;NO APLICA;NO APLICA;3;null
Aprobado C;VALENTINA RODRIGUEZ ;;2025-06-03;511 DE 2025;Por medio de la cual se reconoce, se exalta y se declara patrimonio cultural inmaterial de la nacion el festival nacional del burro y sus diversas manifestaciones ancestrales, religiosas, historicas, simbolicas y culturales, celebrado en el municipio de san antero en el departamento de cordoba, y se dictan otras disposiciones;H.S.Julio Elias Vidal H.R.Ana Rogelia Monsalve Alvarez , H.R.Ana Paola Garcia Soto , H.R.Diego Fernando Caicedo Navas;H.R. Diego Fernando Caicedo Navas;https://www.camara.gov.co/festival-nacional-del-burro;NO ACTUAR;Reconozcase, exaltese y declarese como Patrimonio Cultural Inmaterial de la Nacion el Festival del Burro y sus diversas manifestaciones ancestrales, religiosas, historicas, simbolicas y culturales, celebrado en el municipio de San Antero en el departamento de Cordoba.;8;1. Objeto  2. Proteccion patrimonia de la Bahia de Cispata  3. Salvaguardia a cargo de MinCultura  4. Se autoriza al gobierno nacional para destinar partidas presupuestales  5. El gobierno podra celebrar contratos y convenios entre el departamento y municipio 6. Campanas para trato digno del burro  7. Promocion y difusion del festival  8. Vigencia ;No hay conceptos ;No hay alertas. El proyecto incluye remodelacion de obras, seria bueno contar con concepto de MinHacienda. ;Positivo ;NO APLICA;NO APLICA;NO APLICA;NO APLICA;6;null
Aprobado C;DANIEL URREA;;2025-04-02;130 DE 2024;POR MEDIO DEL CUAL DECLARASE PATRIMONIO CULTURAL INMATERIAL (LRPCI)  DEL AMBITO NACIONAL EL GENERO MUSICAL CALYPSO Y LOS BAILES TIPICOS DEL PUEBLO RAIZAL DEL ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA ;H.R.Elizabeth Jay-Pang Diaz;H.R. Dorina Hernandez Palomin ;https://www.camara.gov.co/calypso;NO ACTUAR;Salvaguardar, fomentar, reconocer e impulsar la musica y el baile tradicional tipico del pueblo Raizal del Archipielago de San Andres, Providencia, y Santa Catalina, como integrante del patrimonio cultural e inmaterial, por medio de un registro de marca que identifique el origen y la tradicion.;16;1. Objeto  2. Facultad para declarar patrimonio  3. Facultad para incluir en la LRPCI y aprobar el PES  4. Ambito de aplicacion: cadena de valor del calypso y el baile tradicional  5. Difusion y conservacion de las expresiones de musica y baile  6. Sistemas de informacion  7. Programa de fortalecimiento de estas expresiones  8. Transferencia de conocimiento  9. Proximos eventos articulados con estas expresiones  10. Cluster creativo Raizal Heritage Route  11. Invima creara AER -certificado de origen artesanal raizal  12. Promover asociatividad  13. Autorizacion a gobiernos regional y municipales para disponer partidas presupuestales anualmente  14. Autoriza consecucion de otros recursos  15. Lineas de financiamiento con SENA - fondoemprender. Paragrafo: linea de credito de Bancoldex  16. Vigencia y derogatorias ;No hay aun;Paragrafo de art. 3 no esta redactado en sentido facultativo: ... financiaran la elaboracion del PES.  Art. 6: crearan el sistema de informacion de la musica y baile tipico de San Andres. Esto no deberia ser un sistema especifico para estas expresiones, sino articulado con el SIMUS.   En general, es un proyecto bastante mas interesante que los proyectos que solo declaran como patrimonio alguna expresion o celebran un cumpleanos de municipio. Se establecen mecanismos para fortalecer las propuestas de valor regionales, como denominaciones de origen y cluster creativo del sector. Es una mirada bastante dinamica desde el punto de vista economico, pero enfocada en un patrimonio cultural vivo con alto potencial de crecimiento, como el raizal. ;Positivos a todos;NO APLICA;NO APLICA;NO APLICA;NO APLICA;2;null
Aprobado C;VALENTINA RODRIGUEZ ;;2024-11-13;053 DE 2024;POR MEDIO DEL CUAL SE MODIFICA LA LEY 993 DE 2005 SE CONMEMORAN LAS FIESTAS DE -SAN FRANCISCO DE ASIS - SAN PACHO EN LA CIUDAD DE QUIBDO DEPARTAMENTO DEL CHOCO Y SE DICTAN OTRAS DISPOSCIONES; H.R.James Hermenegildo Mosquera Torres;H.R. Haiver Rincon Gutierrez H.R. Gerson Lisimaco Montano Arizala;https://www.camara.gov.co/fiesta-san-pacho;NO ACTUAR; La presente ley tiene por objeto modificar la ley 993 de 2005, Por medio de la cual se declara patrimonio cultural de la nacion, conmemorando y promoviendo las Fiestas de San Francisco de Asis - San Pacho, celebradas durante el 3 de septiembre hasta el 5 de octubre de cada ano en la ciudad de Quibdo Departamento del Choco, como un patrimonio cultural, historico y religioso de la nacion;9;1. Objeto  2. Modificacion del articulo 1 de la ley 993 de 2005  3. Promocion y divulgacion a cargo de MinCultura  4. Fomento de participacion ciudadana con ayuda de MinCultura y MinComercio  5.. Recursos del PGN  6. Incentivos y beneficios a cargo de MinCultura y MinComercio  7. Comisionado especial para la coordinacion y seguimiento de la fiesta  8. Informe anual ante el congreso  9. Vigencia ;No hay conceptos ;No hay alertas. Es otro de los usuales proyectos conmemorativos ;Positivo ;NO APLICA;NO APLICA;NO APLICA;NO APLICA;6;null
Aprobado C;MATEO GRISALES;;2025-05-13;389 DE 2024;reconocimiento del derecho de las comunidades indigenas a la adaptacion cultural de los examenes de estado en instituciones etnoeducativas, para la equidad en el pais;H.R.Juan Loreto Gomez Soto , H.R.Nicolas Antonio Barguil Cubillos , H.R.Julio Roberto Salazar Perdomo , H.R.Libardo Cruz Casado , H.R.Luis David Suarez Chadid , H.R.Andres Felipe Jimenez Vargas , H.R.Modesto Enrique Aguilera Vides , H.R.Andres Guillermo Montes Celedon , H.R.Jezmi Lizeth Barraza Arraut , H.R.Hernando Gonzalez , H.R.Jose Eliecer Salazar Lopez , H.R.Ingrid Marlen Sogamoso Alfonso;H.R. Eduard Alexis Triana Rincon;https://www.camara.gov.co/etnoeducativo;NO ACTUAR;Incorporar un enfoque equitativo en las evaluaciones de medicion de calidad de la educacion y en su aplicacion. Pretende que las evaluaciones sean contextualizadas al ambiente, al proceso productivo, al proceso social y cultural de quienes pertenezcan a instituciones etnoeducativas. Paralelamente, busca garantizar el reconocimiento de las desigualdades existentes en los contextos de aprendizaje y promover activamente la igualdad de oportunidades para acceder a educacion de calidad. Esto convertira a las evaluaciones de medicion de calidad de la educacion en una via equitativa para acceder a educacion superior de excelenci;;;;;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;5;null
Aprobado C;VALENTINA RODRIGUEZ ;;2024-12-04;046 DE 2024;Por medio del cual se crea el fondo para el fomento de la formacion de posgrado;H.R.Duvalier Sanchez Arango;H.R. Jaime Raul Salamanca Torres H.R. Julian David Lopez Tenorio;https://www.camara.gov.co/posgrado;NO ACTUAR;El objetivo de la presente ley es promover, facilitar e incrementar el acceso de los ciudadanos colombianos a los programas de posgrado a nivel nacional mediante la creacion del fondo de fomento a la formacion de posgrado.;9;1. Objeto  2. Definiciones  3. Ambito de aplicacion: universidades publicas y privadas a nivel nacional 4. Fondo de fomento a la formacion de posgrado  5. Comite intersectorial de posgrados  6. Funcionamiento  7. Destinacion 8. Asignacion  9. Vigencia ;No hay conceptos ;Este proyecto busca crear un fondo especial para las distintas areas de posgrados en las universidades publicas y privadas a nivel nacional, tiene como objetivo financiar al menos el 60% de los costos de las matriculas. Esto se financiaria con el PGN, donaciones y aportes del sector privado y aportes cooperacion internacional.  Inicialmente, este proyecto tendria un impacto fiscal de 59.577 millones de pesos, costo que aumentaria progresivamente con los estudiantes vigentes y los nuevos estudiantes.  En general, es un buen proyecto. Falta esperar los conceptos de MinEducacion, MinCiencias y sobre todo de MinHacienda. ;Positivo ;NO APLICA;NO APLICA;NO APLICA;NO APLICA;6;null
Aprobado C;DANIEL URREA ;;2025-02-25;315 DE 2024;Por la cual se declara como patrimonio cultural de la nacion el festival pirotecnico, artistico y cultural o festival de luces de guateque en el departamento de boyaca;H.R.Hector David Chaparro Chaparro;H.R. Eduard Alexis Triana Rincon;https://www.camara.gov.co/festival-de-luces-de-guateque;NO ACTUAR;Declarar como patrimonio el Festival de Luces (pirotecnico, artistico y cultural) en Guateque, Boyaca.;6;1. Objeto  2. Reconocer el lugar de origen del festival y a los habitantes de Guateque como sus gestores 3. Minculturas podra contribuir para su sostenibilidad  4. Faculta al ministerio para la declaratoria  5. Faculta incorporacion de recursos del PGN  6. Vigencias ;No hay conceptos;Se considera que este proyecto no representa riesgos. Es un proyecto como tantos otros que declaran patrimonio, sin unos efectos considerables. ;Positivo todos;NO APLICA;NO APLICA;NO APLICA;NO APLICA;2;null
Aprobado C;DANIEL URREA ;;2025-03-04;05 DE 2024;LEY DE INTELIGENCIA ARTIFICIAL ETICA Y SOSTENIBLE PARA EL BIENESTAR SOCIAL;H.R.Olga Lucia Velasquez Nieto , H.R.Gloria Liliana Rodriguez Valencia , H.R.Jaime Raul Salamanca Torres , H.R.Wilmer Yair Castellanos Hernandez , H.R.Maria del Mar Pizarro Garcia;H.R. Alejandro Garcia Rios H.R. Diego Fernando Caicedo NavasH.R. Haiver Rincon Gutierrez;https://www.camara.gov.co/ley-de-inteligencia-artificial-etica;NO ACTUAR;establecer un marco regulatorio desde una perspectiva que desarrolle derechos de quinta generacion, para la generacion de soluciones y productos tecnologicos que emergen del desarrollo de la IA generativos, inmersivos, sincronizados y autonomos, y que onsideren adecuadamente los posibles impactos en la salud mental durante su implementacion y uso, desde las fases iniciales de desarrollo y bajo principios de etica, gestion de datos y seguridad, que incluya una evaluacion por parte de expertos en salud mental (...);;;;;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;2;null
Aprobado C;VALENTINA RODRIGUEZ ;;2025-02-25;345 DE 2024;Por medio del cual se rinde homenaje a los artesanos y las artesanas Boyacenses como protectores de la huella inmemorial, cultural y ancestral de Colombia y se dictan otras disposiciones;H.R.Pedro Jose Suarez Vacca;H.R. Ingrid Marlen Sogamoso Alfonso;https://www.camara.gov.co/homenaje-artesanos-boyacenses;NO ACTUAR;;8;1. Objeto  2. Se faculta al gobierno nacional y a MinCultura para que las practicas artesanales boyacenses sean Patrimonio Cultural Inmaterial  3. Los artesanos y la gobernacion de boyaca postularan las practicas y conocimientos para la lista representativa del patrimonio cultural inmaterial  4. El gobierno nacional, MinCultural y las entidades territoriales fomentaran y divulgaran los conocimientos artesanales  5. MinCultura y MinComercio buscaran estrategias para promocionar las piezas artesanales  6. MinCultura y la Ruta de Artesanos llevaran a cabo la construccion de monumentos  7. Los proyectos y programas mencionados en los articulos 4, 5 y 6 se ajustaran al marco fiscal de mediano plazo 8. Vigencia ;No hay conceptos ;No hay alertas, es otro proyecto de patrimonio. Hay que esperar el concepto de MinHacienda a ver si el impacto fiscal se adapta al marco fiscal de mediano plazo. ;Positivo ;NO APLICA;NO APLICA;NO APLICA;NO APLICA;6;null
Aprobado C;VALENTINA RODRIGUEZ ;;2025-02-25;210 DE 2024;Por medio de la cual se establecen disposiciones para el desarrollo de entornos digitales sanos y seguros para los ninos, ninas y adolescentes del pais;H.S.Soledad Tamayo Tamayo , H.S.Beatriz Lorena Rios Cuellar , H.S.Karina Espinosa Oliver , H.S.Esteban Quintero Cardona H.R.Hugo Alfonso Archila Suarez , H.R.Erika Tatiana Sanchez Pinto , H.R.Monica Karina Bocanegra Pantoja , H.R.Edinson Vladimir Olaya Mancipe;H.R. Julian David Lopez Tenorio H.R. Hernando Gonzalez;https://www.camara.gov.co/entornos-digitales-seguros;NO ACTUAR;Promover entornos digitales sanos y seguros para los ninos, ninas y adolescentes del pais, a traves del desarrollo de politicas que permitan articular esfuerzos entre diferentes entidades del gobierno con la finalidad de impulsar procesos de educacion de los riesgos en linea, promocion de habitos saludables en el manejo de la tecnologia y garantia de sus derechos.;16;1. Objeto  2. Entorno digital sano y seguro es una linea libre de contenido inapropiado y ciberacoso  3. Principios: Corresponsabilidad, interes superior del menor, proteccion integral del menor, evolucion de las facultades del menor  4. Derechos de los ninos, ninas y adolescentes en entornos digitales sanos y seguros  5. Responsabilidades de MinTic  6. Responsabilidades de MinEducacion  7. MinEducacion desarrollara una guia para que los ninos aprendan aspectos sobre la tecnologia y los riesgos de los entornos digitales  8. Se creara un comite de tecnologia y ninez conformado por diferentes ministerior, bienestar familiar y la superintendencia de industria y comercio  9. Responsabilidades de los cuidadores  10. Se anade un numeral al sistema nacional de convivencia escolar  11. El gobierno nacional articulara acciones para que la industria del software promueva entornos digitales sanos y seguros  12. Se desarrollaran acciones para la prevencion de riesgos de violencia sexual infantil en entornos digitales  13. Se financiaran programas de educacion para un entorno digital saludable  14. MinTic y MinEducacion le rendiran un informe anual a las camaras sextas del congreso  15. MinTic consolidara un repositorio de informacion, aprendiza y ensenanza de caracter publico  16. Vigencia ;No hay conceptos ;No hay alertas. Este proyecto busca crear espacios libres de violencia y acoso para ninos, ninas y adolescentes en el entorno digital. Se hara por medio de una linea especifica y se brindara pedogogia en las instituciones educativas. ;Positivo ;NO APLICA;NO APLICA;NO APLICA;NO APLICA;6;null
Aprobado C;CAMILO QUINTERO ;;2024-09-10;457 DE 2024;Por la cual se promueve el desarrollo de alternativas tecnologicas en materia de seguridad, vigilancia privada e inspeccion de sustancias u objetos, se mejora el bienestar de los perros usados en estas actividades, y se dictan otras disposiciones;;;;NO ACTUAR;;;;;;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;1;null
Aprobado C;CAMILO QUINTERO;;2025-03-20;303 DE 2024;Por medio de la cual se modifica la Ley 599 de 2000 y se dictan otras disposiciones adoptan medidas para la proteccion de los ciclistas;H.R.Hector David Chaparro Chaparro , H.R.Nestor Leonardo Rico Rico , H.R.German Rogelio Rozo Anis , H.R.Carlos Felipe Quintero Ovalle , H.R.Andres Eduardo Forero Molina , H.R.Leonardo de Jesus Gallego Arroyave , H.R.Alvaro Henry Monedero Rivera , H.R.Hugo Alfonso Archila Suarez , H.R.Ingrid Marlen Sogamoso Alfonso , H.R.Julian Peinado Ramirez , H.R.Juan Camilo Londono Barrera , H.R.Julian David Lopez Tenorio;Julian David Lopez Tenorio, Hernando Gonzalez;https://www.camara.gov.co/proteccion-de-los-ciclistas;NO ACTUAR;Es un proyecto de le Ley necesario pero se deben incluir tambien a los peatones. Presentamos proposiciones en ese sentido.   Este proyecto de ley tiene por objeto modificar los tipos penales de omision de socorro (articulo 131 de la Ley 599 de 2000) y de homicidio culposo agravado delitos ya tipificados en el Codigo Penal, para incluir condiciones de mayor punibilidad en los eventos que se presenten siniestros viales donde las victimas sean actores viales vulnerables como los ciclistas. Asimismo, se establece la eliminacion y reduccion de los beneficios judiciales y administrativos (condena de ejecucion condicional, la libertad condicional, las medidas de aseguramiento no privativas de la libertad, entre otras), para quienes esten siendo investigados o procesados penalmente por estos hechos.;8;1. Objeto 2. Infraestructura segura para ciclistas 3. Articulacion de politicas publicas 4. Participacion 5. Adicionese un inciso al articulo 131 de la Ley 599 de 2000 6. Adicionese un numeral al articulo 110 de la Ley 599 de 2000 7. Exclusion beneficios y subrogados 8. Vigencia ;No hay conceptos;  Este proyecto de ley propone hacer mas severas las penas de quienes estan amenazando la integridad y la tranquilidad de los ciclistas del pais, en el entendido de imprudencial viales o posibles conductas dolosas o preterintencionales, generando zozobra en quienes la realizan el deporte del ciclismo bien sea aficionado o profesional, pero tambien en quienes escogieron o les toco utilizar la bicicleta como medio de transporte, a sus trabajos o instituciones educativas, algunos de ellos menores de edad. Por otro lado, tambien incita al Gobierno nacional a la mejora de la maya vial, pero tambien la mejora y creacion de la infraestructura para la movilidad de estos actores viales, quienes estan en cumplimiento de la descontaminacion del aire, utilizando este medio de transporte en algunos casos dejando a un lado el uso de automotores y ayudando al cambio climatico, bandera nata de ese gobierno.  En conclusion, es importante llevar esta discusion a los diferentes actores mediante este proyecto de Ley y que como legisladores empecemos a preocuparnos por necesidades que esta presentando nuestro entorno, que constantemente esta mutando y en donde estan apareciendo nuevas formas de violencia y donde en un pais donde somos potencia para los deportistas ciclismo y en donde se le esta apostando por medio del Gobierno nacional a la energias limpias y a detener el cambio climatico, necesita proteger a estos actores viales con mayor severidad en las penas, pero a su vez con la creacion y mejora de la infraestructura vial para su movilidad y practica ;Positivos todos;NO APLICA;NO APLICA;NO APLICA;NO APLICA;1;null
Aprobado C;CAMILO QUINTERO ;;2025-02-19;185 DE 2024;Por medio del cual se modifica la Ley 105 de 1993 y se establece una tarifa diferencial en la estacion de peajes de los municipios de los departamentos de la region Caribe, en dias domingos y festivos;: H.S.Antonio Luis Zabarain Guevara , H.S.Carlos Mario Farelo Daza H.R.Modesto Enrique Aguilera Vides , H.R.Bayardo Gilberto Betancourt Perez , H.R.Betsy Judith Perez Arango , H.R.Jairo Humberto Cristo Correa , H.R.Javier Alexander Sanchez Reyes , H.R.Nestor Leonardo Rico Rico , H.R.Oscar Rodrigo Campo Hurtado , H.R.Sandra Milena Ramirez Caviedes , H.R.Luz Ayda Pastrana Loaiza , H.R.Hernando Gonzalez , H.R.Mauricio Parodi Diaz , H.R.Jorge Mendez Hernandez;Hernando Gonzalez y Ape Cuello;https://www.camara.gov.co/peajes-region-caribe;NO ACTUAR;"El presente proyecto de ley, tiene como objeto establecer una tarifa diferencial en los peajes de Galapa, Papiros, Puerto Colombia, Bayunca, Valencia, Los Cedros, Mata de cana, El Purgatorio, el Ebanal, Alto Pino, Neguanje y La Esperanza; para los vehiculos categoria 1, los dias domingos y festivos con la finalidad de incentivar y beneficiar el turismo y favorecer a las poblaciones aledanas de los diferentes municipios de los departamentos del Atlantico, Magdalena, Bolivar, Cordoba, Cesar, Sucre y Guajira.";4;1. Objeto 2. Modifiquese el articulo 21 de la Ley 105 de 1993 3. El Gobierno nacional en concurrencia con las entidades territoriales, podra establecer excepcionalmente la ampliacion de tarifas diferenciales. 4. Fuentes de financiacion.   5. Vigencia;Sin conceptos;Inicialmente es un proyecto inconveniente porque puede generar incentivos perversos y es necesario tener los conceptos de MinHacienda, ANI y MinTransporte para avanzar. Al respecto, vale la pena mencionar que el ponente y el autor del proyecto ya solicitaron los conceptos con el fin de saber en concreto cuales serian los costos fiscales de la iniciativa legislativa. Sin embargo, a la fecha de radicacion de la ponencia para primer debate no se ha obtenido respuesta de ninguna de estas entidades.;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;1;null
Aprobado C;VALENTINA RODRIGUEZ;;2025-04-22;146 DE 2024;POR LA CUAL SE CREA EL PORTAL UNICO DIGITAL DE LA OFERTA INSTITUCIONAL DEL ESTADO COLOMBIANO Y SE DICTAN OTRAS DISPOSICIONES;H.S.Carlos Eduardo Guevara villabon , H.S.Ana Paola Agudelo Garcia , H.S.Manuel Antonio Virgüez Piraquive H.R.Irma Luz Herrera Rodriguez;H.R. Irma Luz Herrera Rodriguez H.R. Yulieth Andrea Sanchez Carreno;https://www.camara.gov.co/portal-de-oferta-publica;NO ACTUAR;Creese el Portal Unico Digital de Oferta Institucional del Estado Colombiano, como instrumento de lucha contra la corrupcion, que garantice y promueva la transparencia, el acceso a la informacion y la participacion de la ciudadania y los entes territoriales, en la gestion publica.;11;1. Objeto  2. Definiciones  3. Principios  4. Publicacion de ofertas con minimo 15 dias de antelacion  5. Certificacion de la publicacion de la oferta  6. Componentes del portal  7. Metodologia 8. Publicacion y actualizacion  9. Administracion por MinTic  10. Diseno del portal  11. Vigencia ;Aun no hay conceptos, importante el concepto de MinTic y MinHacienda  ;No hay alertas. Este proyecto busca crear un portal digital o pagina web en donde se publiquen todas las ofertas institucionales del Estado con el fin de que las convocatorias sean transparentes y se garantice la buena publicidad de las mismas. ;Positivo ;NO APLICA;NO APLICA;NO APLICA;NO APLICA;6;null
Aprobado C;DANIEL URREA;;2025-03-12;344 DE 2024;Por medio de la cual se establecen lineamientos para informar al consumidor de dispositivos y aparatos electricos y electronicos de los efectos de la obsolescencia programada y se dictan otras disposiciones;H.R.Milene Jarava Diaz;H.R. Julian David Lopez Tenorio;https://www.camara.gov.co/obsolescencia;NO ACTUAR;establecer lineamientos que garanticen una proteccion real de los derechos con los que cuentan los usuarios, partiendo del derecho a la informacion de los consumidores de dispositivos y aparatos electricos y electronicos de consumo contra los efectos de la obsolescencia programada y el manejo de las piezas y repuestos de estos dispositivos;9;1. Objeto 2. Definiciones (Obsolescencia programada, dispositivos y aparatos electricos y electronicos, vida util de los DYAEE, indice de reparacion, software, fabricante o distribuidor, residuos electricos y electronicos)  3. Ambitos de aplicacion  4. Informacion vida util  5. Informacion de las piezas y repuestos  6. Seguimiento y control  7. Responsabilidad  8. Estrategias de control y verificacion  9. Vigencia y derogatorias ;No hay ;Se considera un proyecto que impacta una asunto fundamental de los consumos contemporaneos en tecnologia. Tiene una sustentacion razonable y plantea mecanismos sensatos y factibles en el tiempo.   Se identifican dos asuntos que podrian pedirse que queden aclarados en el informe de ponencia, en lugar de presentarlos como proposicion:   Art. 5 Paragrafo1: dice en condiciones justas, quiza mejor equitativas que justas. Paragrafo2: podria aclararse a partir de cuando se calcula el minimo de tiempo que los fabricantes deben comprometerse a tener repuestos para sus productos: ... no menor a 5 anos desde la venta del producto ¿?   ;Positivos todos;NO APLICA;NO APLICA;NO APLICA;NO APLICA;2;null
Aprobado C;DANIEL URREA;;2024-06-11;427 DE 2024;Por medio del cual se crea la ruta integral de prevencion y atencion para la salud mental de ninos, ninas y adolescentes (rismna) desde las instituciones de educacion basica y media en colombia y se dictan otras disposiciones;H.S.Clara Eugenia Lopez Obregon , H.S.Martha Isabel Peralta Epieyu , H.S.Yuly Esmeralda Hernandez Silva , H.S.Paulino Riascos Riascos , H.S.Gloria Ines Florez Schneider H.R.Heraclito Landinez Suarez , H.R.David Alejandro Toro Ramirez , H.R.Gabriel Becerra Yanez , H.R.Etna Tamara Argote Calderon , H.R.Maria del Mar Pizarro Garcia , H.R.Pedro Jose Suarez Vacca , H.R.Ermes Evelio Pete Vivas , H.R.Eduard Giovanny Sarmiento Hidalgo , H.R.Leider Alexandra Vasquez Ochoa , H.R.Gabriel Ernesto Parrado Duran , H.R.Jorge Andres Cancimance Lopez , H.R.Mary Anne Andrea Perdomo , H.R.Gildardo Silva Molina , H.R.Jorge Alejandro Ocampo Giraldo , H.R.Martha Lisbeth Alfonso Jurado , H.R.Erick Adrian Velasco Burbano , H.R.Luis Eduardo Diaz Mateus , H.R.Carlos Adolfo Ardila Espinosa , H.R.Orlando Castillo Advincula , H.R.Juan Sebastian Gomez Gonzales , H.R.Karen Astrith Manrique Olarte , H.R.Gabriel Ernesto Parrado Duran , H.R.Jorge Andres Cancimance Lopez , H.R.Leyla Marleny Rincon Trujillo , H.R.James Hermenegildo Mosquera Torres , H.R.Hector Mauricio Cuellar Pinzon , H.R.Juan Daniel Penuela Calvache;H.R. Julian David Lopez Tenorio;https://www.camara.gov.co/ecosistema-del-libro;NO ACTUAR;;;;;;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;2;null
